,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EVENT TIMES SHOWN ARE GMT,,,,,,,,,,Overall,Stint 1 - Day - 15:00-17:00,,,,,,,Stint 2 - Day - 17:00-19:00,,,,,,,Stint 3 - Day - 19:00-21:00,,,,,,,Stint 4 - Day - 21:00-23:00,,,,,,,Stint 5 - Day - 23:00-01:00,,,,,,,Stint 6 - Night - 01:00-03:00,,,,,,,Stint 7 - Night - 03:00-05:00,,,,,,,Stint 8 - Night - 05:00-07:00,,,,,,,Stint 9 - Night - 07:00-09:00,,,,,,,Stint 10 - Night - 09:00-11:00,,,,,,,Stint 11 - Night - 11:00-13:00,,,,,,,Stint 12 - Day - 13:00-15:00,,,,,,,Overall,,
Pos,Team Name,,Car Choice,,Class,Car #,Best 2 Lap Times,Numeric Lap Time,Lobby,Quali,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,No,Gamertag,1st Total Miles,1st Distance Before Move,1st Distance After Move,Distance To 1st,Total Distance,Total Distance,Stints Complete,Points
1,Friends 1ˢᵗ Team Porsche,,1983 Porsche #11 956,,P,8,2:55.539,175539,1,1,2725.78,F1R Parallele,F1R Parallele,,,,4698,226.72,F1R Parallele,F1R Parallele,227,1408,6691,0,227.00,RZM Shaun,RZM Shaun,227,1710,2728,0,227.81,F1R Parallele,F1R Parallele,,,,1626,227.36,F1R Eclipse,F1R Eclipse,228,7441,9690,0,228.57,F1R Eclipse,F1R Eclipse,227,3238,6600,0,227.36,F1R Tronic,F1R Tronic,,,,6100,225.35,RZM Shaun,RZM Shaun,,,,621,226.61,RZM Shaun,RZM Shaun,226,949,1611,0,226.87,F1R Eclipse,F1R Eclipse,227,5272,5292,0,228.00,RZM Shaun,RZM Shaun,,,,5586,226.42,F1R Eclipse,F1R Eclipse,227,8599,10106,0,227.71,2725.784,12,200
2,Japspeed Racing Proto,,1983 Porsche #11 956,,P,61,2:56.014,176014,1,4,2711.85,JSR RR97,JSR RR97,,,,14564,224.86,JSR Ted,JSR Ted,,,,16876,223.80,JSR RR97,JSR RR97,,,,12298,225.48,JSR Europa,JSR Europa,,,,3328,227.03,JSR Vanquish,JSR Vanquish,,,,7441,227.16,JSR Vanquish,JSR Vanquish,,,,3238,226.75,JSR Europa,JSR Europa,226,6082,8714,0,226.50,JSR Vanquish,JSR Vanquish,,,,2804,226.19,JSR Europa,JSR Europa,,,,949,226.69,JSR Ted,JSR Ted,,,,10192,226.07,JSR Ted,JSR Ted,,,,11285,225.34,JSR RR97,JSR RR97,,,,9255,225.96,2711.845,12,190
3,TNR eSports - Team Diamonds,,1983 Jaguar #44 XJR-5,,P,27,2:56.937,176937,1,7,2703.38,TNR Remix,TNR Remix,,,,12856,225.18,TNR Skiddy,TNR Skiddy,,,,10123,225.08,TNR LuckyVII,TNR LuckyVII,,,,6303,226.61,TNR Canuck,TNR Canuck,,,,6459,226.44,TNR Remix,TNR Remix,,,,15930,225.56,TNR Blade,TNR Blade,,,,10334,225.41,TNR LuckyVII,TNR LuckyVII,,,,6082,225.35,TNR Blade,TNR Blade,,,,11477,224.55,TNR Canuck,TNR Canuck,,,,15095,224.02,TNR Remix,TNR Remix,,,,18684,224.46,TNR Skiddy,TNR Skiddy,,,,9730,225.64,TNR LuckyVII,TNR LuckyVII,,,,13847,225.09,2703.381,12,183
4,Zephyrus Gold,,1983 Jaguar #44 XJR-5,,P,719,2:57.243,177243,2,1,2702.61,ZR RuizRacer,ZR RuizRacer,226,0,1169,0,226.78,ZR Johan,ZR Johan,,,,205,225.85,ZR Ruso,ZR Ruso,225,1547,4615,0,225.42,ZR Villa,ZR Villa,226,5846,7129,0,226.76,ZR Ruso,ZR Ruso,,,,1190,225.31,ZR Villa,ZR Villa,226,7846,9462,0,226.69,ZR Eternitum,ZR Eternitum,224,154494,154662,0,224.97,ZR Villa,ZR Villa,226,163360,166116,0,226.48,ZR RuizRacer,ZR RuizRacer,,,,14,225.83,ZR Villa,ZR Villa,,,,5856,225.16,ZR RuizRacer,ZR RuizRacer,225,2486,3045,0,225.89,ZR Johan,ZR Johan,225,10005,15005,0,225.05,2702.611,12,178
5,VER Kryptonite,,1983 Jaguar #44 XJR-5,,P,20,2:57.300,177300,2,2,2693.05,Grandwolf1221,Grandwolf1221,,,,13671,224.19,ROCKMORROW,ROCKMORROW,,,,5027,224.93,CamWorthy,CamWorthy,,,,2064,225.03,Grandwolf1221,Grandwolf1221,,,,9744,224.91,LMP Krispy,LMP Krispy,225,154299,156775,0,225.53,LMP Krispy,LMP Krispy,,,,7846,225.21,ROCKMORROW,ROCKMORROW,,,,9746,223.12,ROCKMORROW,ROCKMORROW,,,,10203,224.55,Squatchmongr,Squatchmongr,,,,10300,223.88,Squatchmongr,Squatchmongr,,,,8251,224.71,CamWorthy,CamWorthy,,,,9808,224.04,Grandwolf1221,Grandwolf1221,,,,1060,224.85,2693.055,12,173
6,DEXTERITY III,,1983 Porsche #11 956,,P,412,2:57.580,177580,2,3,2686.33,DEX QueirozzExe,DEX QueirozzExe,,,,227,226.74,DEX QueirozzExe,DEX QueirozzExe,225,205,810,0,225.89,DEX Gatilho,DEX Gatilho,,,,6596,224.17,DEX Brennow,DEX Brennow,,,,5846,225.65,DEX Gatilho,DEX Gatilho,,,,8246,223.97,DEX Cookiefede,DEX Cookiefede,,,,18899,223.11,DEX Brennow,DEX Brennow,,,,2090,224.57,DEX QueirozzExe,DEX QueirozzExe,,,,3022,225.91,DEX Brennow,DEX Brennow,,,,49213,216.51,DEX Gatilho,DEX Gatilho,,,,16009,223.24,DEX Gatilho,DEX Gatilho,,,,5679,224.82,DEX Cookiefede,DEX Cookiefede,,,,7409,223.65,2686.328,12,168
7,Friends 1ˢᵗ Team Porsche II,,1983 Porsche #11 956,,P,9,2:56.853,176853,1,6,2685.20,F1R Legrekt,F1R Legrekt,,,,9316,225.85,F1R Legrekt,F1R Legrekt,,,,6605,225.75,F1R Spencer,F1R Spencer,,,,1710,227.48,F1R Spencer,F1R Spencer,227,1626,3403,0,227.66,F1R Redline,F1R Redline,,,,16967,225.36,F1R Redline,F1R Redline,,,,15745,224.38,F1R Badu,F1R Badu,,,,13461,223.95,F1R Spencer,F1R Spencer,226,11477,12937,0,226.72,F1R Badu,F1R Badu,,,,12549,224.50,F1R Legrekt,F1R Legrekt,,,,9603,226.18,F1R Legrekt,F1R Legrekt,,,,5562,226.43,F1R Redline,F1R Redline,,,DNF,,203.78,2685.204,11,163
8,VER All But,,1983 Jaguar #44 XJR-5,,P,22,2:55.950,175950,1,3,2683.31,ESL Decoy,ESL Decoy,,,,4012,226.85,BDF48GAMING,BDF48GAMING,,,,1408,226.73,BDF48GAMING,BDF48GAMING,,,,1927,227.44,Real Spill G0at,Real Spill G0at,,,,3885,226.93,Real Spill G0at,Real Spill G0at,,,DNF,,203.14,ferraribss237,ferraribss237,,,,9154,225.63,JoeI FM,JoeI FM,,,,6216,225.32,ferraribss237,ferraribss237,,,,16234,223.65,JoeI FM,JoeI FM,,,,6524,225.64,ESL Decoy,ESL Decoy,,,,7745,226.53,ESL Decoy,ESL Decoy,,,,3977,226.73,JoeI FM,JoeI FM,,,,37509,220.61,2683.315,11,158
9,EBT eSports #217,,1983 Porsche #11 956,,P,217,2:57.954,177954,2,9,2674.96,EBTe Sixx,EBTe Sixx,,,,15060,223.93,EBTe Sixx,EBTe Sixx,,,,12978,223.43,EBTe Viero,EBTe Viero,,,,12090,223.13,EBT TRK,EBT TRK,,,,23176,222.37,EBTe Viero,EBTe Viero,,,,5290,224.53,EBTe Viero,EBTe Viero,,,,13483,224.14,EBT Duck,EBT Duck,,,,6491,223.74,EBTe Sixx,EBTe Sixx,,,,7681,225.02,EBT Duck,EBT Duck,,,,44639,217.38,EBTe Sixx,EBTe Sixx,226,5856,9712,0,226.27,EBT TRK,EBT TRK,,,,16212,222.82,EBTe Viero,EBTe Viero,,,,3656,224.36,2674.961,12,153
