R,CR,LBY,CLA,DRIVER,TEAM,SCORE,STAT 1,STAT 2,STAT 3,STAT 4,STAT 5,STAT 6,STAT 7,STAT 8
1,1,A,P,F1R Eclipse,Friends 1ˢᵗ Team Porsche,100.000,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,
2,2,A,P,RZM Shaun,Friends 1ˢᵗ Team Porsche,98.709,100.00%,100.00%,100.00%,96.88%,95.97%,90.32%,,
3,1,A,GT,SDW TheSavi1,SDW Young Rich and Noble,98.074,100.00%,100.00%,100.00%,100.00%,97.86%,,,
4,2,A,GT,SDW Yokohama,SDW Young Rich and Noble,97.814,100.00%,100.00%,100.00%,99.64%,94.59%,,,
5,3,A,GT,VNX Carried,Vanatix eSports,97.354,100.00%,97.37%,97.14%,95.00%,94.87%,94.29%,,
6,3,A,P,JSR Parallel K1,Friends 1ˢᵗ Team Porsche,96.584,100.00%,100.00%,97.58%,97.06%,88.24%,,,
7,4,A,GT,F1R NeMy,Friends 1ˢᵗ Team Nissan,95.947,97.50%,97.44%,96.88%,94.29%,91.89%,88.57%,,
8,4,A,P,JSR Europa,Japspeed Racing Proto,95.830,100.00%,97.06%,96.97%,95.16%,94.12%,,,
9,5,A,GT,THR Lags,THR Baguette,95.287,97.44%,97.30%,94.74%,92.50%,91.43%,90.63%,,
10,6,A,GT,AMS Razo,SDW Young Rich and Noble,95.204,100.00%,100.00%,100.00%,99.64%,,,,
11,7,A,GT,SDW Whiteout,SDW Young Rich and Noble,94.966,100.00%,100.00%,100.00%,97.14%,,,,
12,5,A,P,JSR Vanquish,Japspeed Racing Proto,94.533,97.06%,97.06%,96.97%,94.35%,90.63%,,,
13,8,A,GT,F1R Dezi9n,Friends 1ˢᵗ Team Nissan,94.377,97.50%,95.71%,92.31%,92.11%,91.67%,89.47%,,
14,6,A,P,F1R Spencer,Friends 1ˢᵗ Team Porsche II,94.164,100.00%,100.00%,97.06%,82.35%,82.26%,,,
15,7,A,P,ESL Decoy,VER All But,92.918,97.06%,96.77%,93.94%,92.74%,79.41%,,,
